VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-05-01 00:07:08,2024-05-01 00:15:03,N,1.0,65,49,1.0,1.24,9.3,1.0,0.5,2.0,0.0,,1.0,13.8,1.0,1.0,0.0
2,2024-05-01 00:30:48,2024-05-01 00:35:49,N,1.0,7,179,1.0,0.94,7.2,1.0,0.5,1.94,0.0,,1.0,11.64,1.0,1.0,0.0
2,2024-05-01 00:34:13,2024-05-01 00:38:07,N,1.0,74,42,1.0,0.84,6.5,1.0,0.5,0.0,0.0,,1.0,9.0,2.0,1.0,0.0
2,2024-05-01 00:58:01,2024-05-01 01:14:41,N,1.0,75,235,1.0,6.07,25.4,1.0,0.5,5.0,0.0,,1.0,32.9,1.0,1.0,0.0
2,2024-05-01 00:11:45,2024-05-01 00:20:38,N,1.0,256,49,2.0,2.06,12.1,1.0,0.5,2.92,0.0,,1.0,17.52,1.0,1.0,0.0
1,2024-05-01 00:29:06,2024-05-01 00:36:03,N,1.0,210,210,1.0,1.3,9.3,1.0,1.5,1.0,0.0,,1.0,12.8,1.0,1.0,0.0
2,2024-05-01 00:06:23,2024-05-01 00:18:18,N,1.0,66,4,5.0,4.35,19.8,1.0,0.5,3.0,0.0,,1.0,28.05,1.0,1.0,2.75
2,2024-05-01 00:06:36,2024-05-01 00:18:03,N,1.0,95,95,1.0,2.02,13.5,1.0,0.5,0.0,0.0,,1.0,16.0,2.0,1.0,0.0
2,2024-05-01 00:58:01,2024-05-01 01:07:35,N,1.0,24,143,1.0,2.35,12.8,1.0,0.5,3.0,0.0,,1.0,21.05,1.0,1.0,2.75
2,2024-05-01 00:54:12,2024-05-01 00:58:51,N,5.0,210,210,1.0,1.3,8.0,0.0,0.0,0.0,0.0,,1.0,9.0,1.0,2.0,0.0
2,2024-05-01 00:38:09,2024-05-01 00:45:10,N,1.0,43,140,1.0,1.69,10.0,1.0,0.5,0.0,0.0,,1.0,15.0,2.0,1.0,2.5
2,2024-05-01 00:21:21,2024-05-01 00:39:26,N,1.0,181,227,1.0,3.37,20.5,1.0,0.5,3.0,0.0,,1.0,26.0,1.0,1.0,0.0
2,2024-05-01 00:03:24,2024-05-01 00:06:23,N,1.0,93,92,2.0,0.9,6.5,1.0,0.5,0.0,0.0,,1.0,9.0,1.0,1.0,0.0
2,2024-05-01 00:32:43,2024-05-01 00:40:43,N,1.0,74,151,4.0,1.87,10.7,1.0,0.5,2.64,0.0,,1.0,15.84,1.0,1.0,0.0
2,2024-05-01 00:03:09,2024-05-01 00:04:40,N,1.0,129,129,5.0,0.33,4.4,1.0,0.5,0.0,0.0,,1.0,6.9,2.0,1.0,0.0
2,2024-05-01 00:33:26,2024-05-01 00:42:38,N,1.0,74,42,1.0,1.55,11.4,1.0,0.5,2.78,0.0,,1.0,16.68,1.0,1.0,0.0
2,2024-05-01 00:25:03,2024-05-01 00:33:56,N,1.0,129,129,1.0,1.19,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,1.0,1.0,0.0
2,2024-05-01 00:05:02,2024-05-01 00:23:51,N,1.0,134,198,1.0,4.49,23.3,1.0,0.5,0.0,0.0,,1.0,25.8,2.0,1.0,0.0
2,2024-05-01 00:17:29,2024-05-01 00:17:36,N,5.0,95,95,1.0,0.0,11.0,0.0,0.0,2.4,0.0,,1.0,14.4,1.0,2.0,0.0
2,2024-05-01 00:39:26,2024-05-01 00:50:54,N,5.0,42,169,1.0,3.4,15.0,0.0,0.0,0.0,0.0,,1.0,16.0,2.0,2.0,0.0
2,2024-05-01 01:04:29,2024-05-01 01:23:00,N,1.0,65,61,1.0,4.25,21.9,1.0,0.5,0.0,0.0,,1.0,24.4,2.0,1.0,0.0
2,2024-05-01 01:40:00,2024-05-01 01:44:59,N,1.0,129,82,1.0,0.8,6.5,1.0,0.5,0.0,0.0,,1.0,9.0,2.0,1.0,0.0
2,2024-05-01 01:29:39,2024-05-01 01:37:57,N,1.0,129,129,1.0,0.84,8.6,1.0,0.5,0.0,0.0,,1.0,11.1,2.0,1.0,0.0
2,2024-05-01 01:25:03,2024-05-01 01:33:26,N,1.0,116,42,2.0,1.29,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,2.0,1.0,0.0
2,2024-05-01 01:55:33,2024-05-01 02:09:10,N,1.0,244,69,3.0,2.25,15.6,1.0,0.5,0.0,0.0,,1.0,18.1,2.0,1.0,0.0
2,2024-05-01 01:35:10,2024-05-01 01:46:14,N,1.0,256,36,2.0,2.24,13.5,1.0,0.5,3.2,0.0,,1.0,19.2,1.0,1.0,0.0
2,2024-05-01 01:26:36,2024-05-01 01:35:32,N,1.0,74,24,1.0,1.93,11.4,1.0,0.5,4.17,0.0,,1.0,18.07,1.0,1.0,0.0
2,2024-05-01 01:05:17,2024-05-01 01:15:56,N,1.0,95,121,1.0,2.46,14.2,1.0,0.5,0.0,0.0,,1.0,16.7,2.0,1.0,0.0
2,2024-05-01 01:44:54,2024-05-01 01:44:59,N,5.0,83,83,1.0,0.0,15.0,0.0,0.0,0.0,0.0,,1.0,16.0,1.0,2.0,0.0
2,2024-05-01 01:27:32,2024-05-01 01:39:35,N,1.0,74,168,3.0,2.72,14.9,1.0,0.5,3.48,0.0,,1.0,20.88,1.0,1.0,0.0
2,2024-05-01 01:50:53,2024-05-01 02:03:36,N,1.0,129,92,5.0,5.56,24.0,1.0,0.5,7.95,0.0,,1.0,34.45,1.0,1.0,0.0
2,2024-05-01 01:25:46,2024-05-01 01:29:13,N,5.0,41,41,1.0,0.84,9.0,0.0,0.0,0.0,0.0,,1.0,10.0,2.0,2.0,0.0
2,2024-05-01 01:42:51,2024-05-01 01:54:24,N,5.0,42,168,1.0,3.21,14.0,0.0,0.0,0.0,0.0,,1.0,15.0,2.0,2.0,0.0
2,2024-05-01 02:32:06,2024-05-01 02:47:50,N,1.0,25,181,1.0,2.34,16.3,1.0,0.5,3.76,0.0,,1.0,22.56,1.0,1.0,0.0
2,2024-05-01 02:23:57,2024-05-01 02:37:01,N,1.0,129,226,1.0,1.74,14.2,1.0,0.5,0.0,0.0,,1.0,16.7,2.0,1.0,0.0
2,2024-05-01 02:52:23,2024-05-01 03:01:37,N,1.0,82,70,1.0,3.34,15.6,1.0,0.5,3.62,0.0,,1.0,21.72,1.0,1.0,0.0
2,2024-05-01 02:16:12,2024-05-01 02:52:25,N,1.0,82,230,1.0,7.04,37.3,1.0,0.5,8.51,0.0,,1.0,51.06,1.0,1.0,2.75
2,2024-05-01 02:10:08,2024-05-01 02:25:48,N,1.0,92,83,1.0,4.64,21.9,1.0,0.5,4.0,0.0,,1.0,28.4,1.0,1.0,0.0
2,2024-05-01 02:52:32,2024-05-01 03:33:40,N,1.0,129,48,1.0,7.44,40.1,1.0,0.5,0.0,6.94,,1.0,52.29,2.0,1.0,2.75
2,2024-05-01 02:48:25,2024-05-01 03:53:26,N,1.0,173,260,2.0,15.8,78.6,1.0,0.5,0.0,0.0,,1.0,81.1,2.0,1.0,0.0
2,2024-05-01 02:09:20,2024-05-01 02:13:45,N,1.0,74,42,1.0,1.09,7.2,1.0,0.5,0.0,0.0,,1.0,9.7,2.0,1.0,0.0
